# Decimal 24
# Average FPS: 797.64
# Average P1 (1% percentile): 331.32
# Average 1% Low Avg FPS: 306.68

Sample No,Driver,Average FPS,P1 (1% percentile),1% Low Avg FPS
1,581.80,798.4,331.6,306.3
2,581.80,798.3,330.6,308.5
3,581.80,797.7,331.1,307.1
4,581.80,797.6,331.5,307.1
5,581.80,796.2,331.8,305.4
