# Decimal 25
# Average FPS: 789.34
# Average P1 (1% percentile): 331.70
# Average 1% Low Avg FPS: 306.00

Sample No,Driver,Average FPS,P1 (1% percentile),1% Low Avg FPS
1,581.80,790.9,332.0,306.3
2,581.80,790.9,332.1,309.1
3,581.80,789.4,331.7,305.6
4,581.80,789.1,330.9,304.1
5,581.80,786.4,331.8,304.9
